数据库：分省年度数据
指标：互联网上网人数(万人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,1556,1458,1379,1218,1103,980,737,468,428,402
天津市,866,793,719,648,564,485,287,260,229,193
河北省,3389,3008,2597,2197,1842,1334,762,631,486,387
山西省,1755,1589,1405,1250,1064,819,536,380,269,211
内蒙古自治区,1093,965,854,747,575,385,322,160,116,93
辽宁省,2453,2199,2092,1916,1595,1138,783,483,372,322
吉林省,1163,1062,966,882,726,520,434,271,201,179
黑龙江省,1514,1329,1206,1127,912,620,476,366,316,278
上海市,1683,1606,1525,1239,1171,1110,830,510,463,441
江苏省,4095,3952,3685,3306,2765,2084,1757,1027,790,661
浙江省,3330,3221,3052,2786,2452,2108,1509,977,707,534
安徽省,2150,1869,1585,1392,1069,723,587,337,276,240
福建省,2402,2280,2102,1848,1629,1379,866,516,397,326
江西省,1468,1267,1088,950,790,610,511,285,187,156
山东省,4329,3866,3625,3332,2769,1983,1256,1126,988,848
河南省,3283,2856,2582,2417,2007,1283,956,517,396,305
湖北省,2491,2309,2129,1902,1469,1050,706,532,463,429
湖南省,2410,2200,1936,1747,1406,999,690,408,348,312
广东省,6992,6627,6300,5324,4860,4554,3344,1831,1486,1188
广西壮族自治区,1774,1586,1353,1226,1030,734,560,374,330,285
海南省,411,384,338,303,244,216,144,117,69,47
重庆市,1293,1195,1068,990,803,598,356,220,189,181
四川省,2835,2562,2229,1998,1635,1103,809,690,609,523
贵州省,1146,991,840,751,573,433,224,142,109,98
云南省,1528,1321,1140,1021,844,548,303,275,241,206
西藏自治区,115,101,90,81,53,47,36,16,9,7
陕西省,1689,1551,1429,1295,995,790,517,395,314,258
甘肃省,894,795,700,655,535,327,219,152,125,120
青海省,274,238,208,188,154,130,60,37,29,20
宁夏回族自治区,283,258,207,175,141,102,61,42,32,31
新疆维吾尔自治区,1094,962,882,819,634,625,363,155,126,119

数据来源：国家统计局

注：
