数据库：分省年度数据
指标：互联网宽带接入端口(万个)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,1186.8,1076.8,801.8,633.4,563.2,455.3,398.7,335.2,,
天津市,353.9,461.7,367.9,230.0,184.5,163.1,119.2,95.9,,
河北省,2049.3,1756.0,1150.4,924.3,724.0,466.8,301.9,235.9,,
山西省,881.7,737.4,639.2,502.8,377.7,283.0,188.6,148.0,,
内蒙古自治区,677.2,548.7,409.3,267.0,179.8,135.9,99.7,69.9,,
辽宁省,1631.4,1267.5,981.3,793.4,596.8,426.6,288.0,224.1,,
吉林省,695.0,635.6,498.8,362.2,288.1,216.6,128.2,96.2,,
黑龙江省,865.2,771.7,640.6,498.4,367.4,293.8,217.6,174.6,,
上海市,1374.6,1491.5,706.4,819.1,662.4,611.3,533.8,421.3,,
江苏省,3063.2,2892.4,2064.2,1806.4,1092.5,954.5,777.5,547.3,,
浙江省,2447.4,2250.4,1458.2,1316.6,947.3,822.0,701.3,549.9,,
安徽省,1124.6,1063.8,732.8,609.5,471.9,248.3,194.7,134.3,,
福建省,1439.4,1439.8,910.3,747.1,471.8,411.7,368.6,305.6,,
江西省,868.6,719.3,562.0,358.9,281.8,219.1,167.8,122.1,,
山东省,2537.0,2144.9,1756.4,1424.0,1028.9,743.5,529.3,433.8,,
河南省,1747.0,1435.7,1104.1,875.8,693.2,497.3,321.4,230.8,,
湖北省,1153.2,1023.5,746.1,588.4,433.3,327.4,282.0,221.7,,
湖南省,1219.6,1070.2,780.3,468.7,389.9,322.8,262.0,207.9,,
广东省,3325.2,3158.1,2519.4,2185.8,1733.4,1442.3,1029.8,725.9,,
广西壮族自治区,978.8,848.0,590.2,494.1,402.4,270.7,210.4,161.6,,
海南省,198.6,168.9,127.6,111.3,77.3,55.4,39.5,33.5,,
重庆市,778.8,648.8,482.7,401.1,291.7,230.9,164.2,111.6,,
四川省,1775.7,1316.3,979.1,767.8,507.7,391.0,308.8,244.4,,
贵州省,494.2,466.8,427.0,228.9,163.6,125.8,96.5,69.6,,
云南省,736.9,663.7,443.8,325.9,247.1,205.5,155.0,113.7,,
西藏自治区,44.1,41.0,26.7,17.8,15.7,11.5,8.0,4.8,,
陕西省,940.9,803.6,621.2,484.9,273.9,238.4,183.0,134.8,,
甘肃省,460.3,430.8,251.4,172.4,121.4,108.4,84.3,62.2,,
青海省,117.8,105.6,62.0,51.6,32.8,25.6,19.7,15.4,,
宁夏回族自治区,150.3,122.1,79.0,56.6,38.9,31.5,24.9,18.6,,
新疆维吾尔自治区,628.6,548.1,319.1,256.7,175.1,154.6,107.7,73.1,,

数据来源：国家统计局

注：
