数据库：分省年度数据
指标：农村居民消费水平(元)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,17663,14664,13659,13392,11917,10375,8984,7580,6602,5713
天津市,14954,11936,9658,8076,7279,6540,5409,4816,4380,4079
河北省,6460,5766,4893,3867,3606,3515,3067,2714,2426,2167
山西省,7476,6485,5627,4687,3705,3510,2951,2468,2146,1891
内蒙古自治区,8218,7032,5945,4692,4072,3673,3286,2816,2426,2077
辽宁省,10417,8652,7221,5955,5039,4409,3727,3508,3175,2621
吉林省,7773,6977,6239,4842,4494,3922,3369,2969,2504,2139
黑龙江省,7478,6445,5898,4794,4360,3873,3106,2552,2419,1864
上海市,20221,18512,17757,13609,12240,11563,10802,10462,9245,7465
江苏省,14571,11721,10164,8196,7147,6384,5698,4844,4150,3481
浙江省,15458,13724,12371,10273,8571,7881,7169,6216,5439,4918
安徽省,6114,5648,5356,4447,3683,3259,2878,2427,2167,2910
福建省,10147,9596,8436,7169,6248,5811,4846,4325,3730,3335
江西省,7429,6423,5853,4613,3560,3184,3061,2810,2576,2342
山东省,9224,8212,7041,5730,5395,5081,4251,3608,3109,2662
河南省,6438,5608,4929,4061,3528,3208,2833,2556,2372,2156
湖北省,7755,6705,5653,4758,4137,3892,3300,2813,2503,2134
湖南省,7005,6382,5607,4513,4154,3914,3437,3081,2863,2576
广东省,9914,8898,7854,6255,5533,4975,4401,4010,3915,3386
广西壮族自治区,5795,5355,4671,3842,3424,3143,2721,2443,2329,1951
海南省,7072,6020,5204,3846,3447,3130,2939,2646,2355,2261
重庆市,6538,5741,4615,3652,3413,3254,2752,2360,2236,1925
四川省,8074,7147,5882,4748,3891,3362,2949,2572,2432,2153
贵州省,5383,4448,3986,3221,2741,2418,2094,1771,1621,1336
云南省,6003,5645,4825,3783,3151,2972,2597,2189,1955,1634
西藏自治区,3874,3098,2775,2567,2318,2009,1920,1829,1534,1420
陕西省,6620,5783,4697,3917,3356,3080,2549,2254,1987,1703
甘肃省,5245,4563,3977,3126,2774,2480,2048,1883,1812,1497
青海省,6954,6116,4905,3848,3435,3121,2453,2128,1941,1583
宁夏回族自治区,7062,5958,5100,3896,3541,3305,2808,2467,2322,2037
新疆维吾尔自治区,5942,5410,4495,3674,3029,2686,2320,2000,1884,1652

数据来源：国家统计局

注：
