数据库：分省年度数据
指标：城镇居民消费水平(元)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,35836,32857,30037,26949,23812,21872,20320,18185,16478,15438
天津市,28779,25569,23360,20482,17483,16452,14218,12600,11415,10348
河北省,17198,16554,15331,13619,12195,10835,10031,8971,7851,7096
山西省,16341,15091,14055,12680,10617,10262,9252,8143,7104,6441
内蒙古自治区,23590,21308,18996,16136,14323,12863,10930,8930,7887,6415
辽宁省,25161,23065,20560,17488,14786,13265,10845,9317,8749,7748
吉林省,18714,16873,14804,13090,12085,10891,9598,8166,7630,6869
黑龙江省,17102,15538,14347,12578,10784,9842,8564,7410,6958,6321
上海市,41464,39095,37558,34588,28428,26909,24429,21216,18996,17304
江苏省,28753,24101,21598,18243,15965,14752,12990,11363,10060,8604
浙江省,30101,28259,26856,23655,21204,19002,16986,15837,13843,11771
安徽省,17779,16131,14923,13259,11301,10196,9204,7886,7102,5343
福建省,21725,20722,19762,17900,15662,15072,12896,11630,10296,9502
江西省,16728,15327,14029,12353,9833,9642,9105,7738,7329,6300
山东省,23358,21528,19923,17717,16027,14815,12633,11193,9453,7965
河南省,18833,17104,15616,13958,11884,10797,9743,8810,8145,7394
湖北省,19156,17296,15935,13576,12080,11650,10593,8944,8051,7277
湖南省,19508,18060,16783,14707,13000,11749,10551,9491,8623,7731
广东省,30440,28269,25527,23159,20852,19101,16982,14695,13609,12409
广西壮族自治区,19185,17457,15681,14017,12585,11229,9473,7824,7136,6525
海南省,15877,15068,13272,11365,10215,9807,9422,8117,7183,6595
重庆市,21681,19873,17973,15260,13417,12168,10541,8806,7793,7146
四川省,17899,16649,15687,13457,11701,10608,9559,8305,7577,6970
贵州省,16581,15441,13877,12635,11945,11007,9887,9226,7777,6768
云南省,19089,16514,14464,12584,11585,10688,9234,8798,8514,7778
西藏自治区,14001,12958,11393,11026,9862,8694,7761,6817,8571,9859
陕西省,19620,18254,16213,14134,12232,11310,9901,8771,7954,7352
甘肃省,16327,15048,13574,11881,10765,9975,9150,8190,7410,6923
青海省,17617,15026,13348,11878,10845,9816,8819,7481,6947,6432
宁夏回族自治区,19671,18223,17038,14730,13151,11852,9555,8573,7503,6772
新疆维吾尔自治区,18285,17442,14663,12665,10366,9882,8833,7728,7221,6808

数据来源：国家统计局

注：
