数据库：分省年度数据
指标：地区生产总值(亿元)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,19500.56,17879.40,16251.93,14113.58,12153.03,11115.00,9846.81,8117.78,6969.52,6033.21
天津市,14370.16,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74,3905.64,3110.97
河北省,28301.41,26575.01,24515.76,20394.26,17235.48,16011.97,13607.32,11467.60,10012.11,8477.63
山西省,12602.24,12112.83,11237.55,9200.86,7358.31,7315.40,6024.45,4878.61,4230.53,3571.37
内蒙古自治区,16832.38,15880.58,14359.88,11672.00,9740.25,8496.20,6423.18,4944.25,3905.03,3041.07
辽宁省,27077.65,24846.43,22226.70,18457.27,15212.49,13668.58,11164.30,9304.52,8047.26,6672.00
吉林省,12981.46,11939.24,10568.83,8667.58,7278.75,6426.10,5284.69,4275.12,3620.27,3122.01
黑龙江省,14382.93,13691.58,12582.00,10368.60,8587.00,8314.37,7104.00,6211.80,5513.70,4750.60
上海市,21602.12,20181.72,19195.69,17165.98,15046.45,14069.87,12494.01,10572.24,9247.66,8072.83
江苏省,59161.75,54058.22,49110.27,41425.48,34457.30,30981.98,26018.48,21742.05,18598.69,15003.60
浙江省,37568.49,34665.33,32318.85,27722.31,22990.35,21462.69,18753.73,15718.47,13417.68,11648.70
安徽省,19038.87,17212.05,15300.65,12359.33,10062.82,8851.66,7360.92,6112.50,5350.17,4759.30
福建省,21759.64,19701.78,17560.18,14737.12,12236.53,10823.01,9248.53,7583.85,6554.69,5763.35
江西省,14338.50,12948.88,11702.82,9451.26,7655.18,6971.05,5800.25,4820.53,4056.76,3456.70
山东省,54684.33,50013.24,45361.85,39169.92,33896.65,30933.28,25776.91,21900.19,18366.87,15021.84
河南省,32155.86,29599.31,26931.03,23092.36,19480.46,18018.53,15012.46,12362.79,10587.42,8553.79
湖北省,24668.49,22250.45,19632.26,15967.61,12961.10,11328.92,9333.40,7617.47,6590.19,5633.24
湖南省,24501.67,22154.23,19669.56,16037.96,13059.69,11555.00,9439.60,7688.67,6596.10,5641.94
广东省,62163.97,57067.92,53210.28,46013.06,39482.56,36796.71,31777.01,26587.76,22557.37,18864.62
广西壮族自治区,14378.00,13035.10,11720.87,9569.85,7759.16,7021.00,5823.41,4746.16,3984.10,3433.50
海南省,3146.46,2855.54,2522.66,2064.50,1654.21,1503.06,1254.17,1065.67,918.75,819.66
重庆市,12656.69,11409.60,10011.37,7925.58,6530.01,5793.66,4676.13,3907.23,3467.72,3034.58
四川省,26260.77,23872.80,21026.68,17185.48,14151.28,12601.23,10562.39,8690.24,7385.10,6379.63
贵州省,8006.79,6852.20,5701.84,4602.16,3912.68,3561.56,2884.11,2338.98,2005.42,1677.80
云南省,11720.91,10309.47,8893.12,7224.18,6169.75,5692.12,4772.52,3988.14,3462.73,3081.91
西藏自治区,807.67,701.03,605.83,507.46,441.36,394.85,341.43,290.76,248.80,220.34
陕西省,16045.21,14453.68,12512.30,10123.48,8169.80,7314.58,5757.29,4743.61,3933.72,3175.58
甘肃省,6268.01,5650.20,5020.37,4120.75,3387.56,3166.82,2703.98,2277.35,1933.98,1688.49
青海省,2101.05,1893.54,1670.44,1350.43,1081.27,1018.62,797.35,648.50,543.32,466.10
宁夏回族自治区,2565.06,2341.29,2102.21,1689.65,1353.31,1203.92,919.11,725.90,612.61,537.11
新疆维吾尔自治区,8360.24,7505.31,6610.05,5437.47,4277.05,4183.21,3523.16,3045.26,2604.19,2209.09

数据来源：国家统计局

注：
2004年及以后年份地区生产总值数据执行《国民经济行业分类》（GB/T4754-2002）,2004年以前地区生产总值数据执行《国民经济行业分类》（GB/T4754-1994）。
