数据库：分省年度数据
指标：15岁及以上人口数(人口抽样调查)(人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,15722,15648,15737,,13599,13375,13153,12868,182650,12798
天津市,10790,10408,10344,,9419,9028,8773,8522,120572,8575
河北省,49745,49895,50971,,51969,52866,52862,53091,746574,54547
山西省,25247,25396,25737,,25137,25177,25001,24918,349524,25501
内蒙古自治区,17782,17897,18303,,18440,18565,18604,18581,262000,19256
辽宁省,32457,32819,33193,,34186,34259,34334,34316,479167,35385
吉林省,20038,20139,20501,,21386,21735,21781,21931,307428,22730
黑龙江省,27859,28112,28912,,29864,30280,30563,30532,430771,31828
上海市,18065,18181,18394,,15544,15522,15378,15187,214169,15233
江苏省,56793,57383,58720,,59013,59653,59592,59074,835732,60493
浙江省,39959,40062,40789,,39175,39465,39123,38697,545255,38551
安徽省,40579,40915,41801,,44116,44335,44509,44746,623028,49000
福建省,25899,26044,26774,,26616,26720,26987,26959,381435,27488
江西省,29968,29495,30114,,30564,30628,30897,30243,427446,32561
山东省,67898,67769,69550,,70735,71724,72490,72821,1029220,73816
河南省,61555,62353,63576,,67885,68058,68846,68956,979235,74339
湖北省,40707,41428,42154,,43505,44106,44177,44059,613088,47234
湖南省,45131,45065,46264,,47036,48037,48587,48207,680670,52986
广东省,73194,73925,74285,,70246,69879,69264,68166,956604,58117
广西壮族自治区,30586,30243,30969,,33769,33798,33925,33682,470371,37473
海南省,6004,5985,6003,,6053,6015,6053,5987,83637,6024
重庆市,20687,20537,20938,,20635,20687,20957,20946,293816,24176
四川省,55831,56449,57636,,59999,60928,60809,61143,849493,68253
贵州省,22520,22393,22475,,25403,25238,25171,25207,353816,28140
云南省,30934,31272,31821,,31760,31885,31972,31972,446987,33119
西藏自治区,1976,2000,1994,,2051,2011,2025,1944,26656,1982
陕西省,26377,26912,27172,,28199,28407,28415,28183,396108,28886
甘肃省,17709,17947,18211,,18985,18840,19023,18859,263000,19797
青海省,3821,3797,3856,,3899,3919,3914,3908,54595,3997
宁夏回族自治区,4306,4246,4320,,4328,4267,4255,4203,58454,4200
新疆维吾尔自治区,14795,14812,15107,,14954,15026,14825,14475,203235,14714

数据来源：国家统计局

注：
2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
