数据库：分省年度数据
指标：15岁及以上女性人口数(人口抽样调查)(人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,7574,7649,7725,,6692,6608,6645,6554,90424,6256
天津市,5476,5287,5243,,4681,4610,4414,4362,60578,4377
河北省,24571,24680,24862,,25849,26210,26355,26580,376876,26989
山西省,12241,12464,12598,,12364,12515,12317,12410,173769,12451
内蒙古自治区,8560,8765,9222,,9045,9081,9230,9172,128607,9373
辽宁省,16103,16373,16537,,17132,17207,17165,17103,240977,17736
吉林省,9744,9945,10099,,10484,10790,10797,10912,152323,11440
黑龙江省,13768,13878,14437,,14788,15044,15197,15152,213813,15770
上海市,8801,8738,8667,,7869,7817,7767,7687,106825,7764
江苏省,28861,29403,29753,,30442,31387,31131,31065,434191,31139
浙江省,19294,19694,20988,,19539,19501,19300,19428,271165,19162
安徽省,20322,19953,21036,,21977,22244,22704,22613,319509,24331
福建省,12606,13077,13740,,13510,13470,13678,13610,193398,13935
江西省,14650,14621,14582,,15469,15515,15655,15321,217579,16195
山东省,33779,33944,35043,,35538,36347,36535,36676,521811,37339
河南省,31597,31733,31421,,34550,34659,34797,35129,495872,37076
湖北省,20262,20548,20752,,21554,22047,22037,22116,307644,23679
湖南省,22289,22189,22805,,23376,23541,23930,24123,338500,26136
广东省,35079,35260,34964,,35435,34614,34538,33804,483406,28984
广西壮族自治区,14724,14762,14842,,16324,16396,16519,16343,231606,18302
海南省,2891,2839,2926,,2871,2922,2941,2908,40601,2951
重庆市,10239,10327,10322,,10465,10416,10512,10580,148178,12292
四川省,27510,26898,28358,,30246,30327,30684,30606,433616,34257
贵州省,11050,11060,10682,,12462,12373,12466,12396,175003,13780
云南省,14978,15259,15633,,15385,15435,15694,15623,218407,16525
西藏自治区,972,1017,982,,1049,1048,1040,999,13592,1019
陕西省,12968,13115,13400,,14136,14254,14347,14295,200127,14215
甘肃省,8672,8778,8856,,9465,9472,9519,9481,132515,9711
青海省,1876,1852,1927,,1955,1956,1947,1938,27252,1971
宁夏回族自治区,2128,2106,2056,,2140,2113,2118,2082,29330,2094
新疆维吾尔自治区,7225,7274,7320,,7399,7400,7324,7135,100566,7225

数据来源：国家统计局

注：
2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
