数据库：分省年度数据
指标：15岁及以上女性文盲人口数(人口抽样调查)(人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,182,181,213,,303,337,341,437,5759,454
天津市,171,178,192,,232,246,263,284,4490,359
河北省,1121,1363,1388,,1867,1910,2504,2524,39797,2629
山西省,361,379,504,,740,769,777,774,13799,1015
内蒙古自治区,520,494,558,,984,1072,1076,1239,20725,1332
辽宁省,377,519,560,,796,915,969,1057,17139,1171
吉林省,313,251,315,,496,678,701,801,12558,575
黑龙江省,420,454,547,,952,927,967,1090,19049,1037
上海市,474,319,356,,487,500,515,616,9194,826
江苏省,1705,2140,2281,,3356,3815,3843,4396,66174,6162
浙江省,1590,1531,1896,,2440,2784,3000,2966,48485,3624
安徽省,2136,2516,2630,,4240,4663,5454,5368,85678,5298
福建省,1071,989,969,,1743,2309,2421,2459,39251,3175
江西省,624,847,866,,1197,1548,1767,2139,34730,2207
山东省,2770,3153,3460,,4001,4358,4562,5107,95707,6748
河南省,2122,2395,2605,,3159,3573,3953,4206,68962,4265
湖北省,1569,1821,1873,,2455,2467,2821,3249,56212,4017
湖南省,1018,1297,1418,,1779,2093,1964,2397,43177,2847
广东省,1645,1693,1780,,2058,2322,2338,2818,46735,3194
广西壮族自治区,793,867,978,,1307,1458,1520,1600,31584,2284
海南省,221,202,226,,367,407,401,433,6367,354
重庆市,705,756,745,,1036,1146,1225,1465,24586,2063
四川省,2689,2703,2978,,4040,4462,4677,5522,100158,5423
贵州省,1605,1922,2028,,2530,2755,3105,3505,56560,3334
云南省,1720,1783,1888,,3028,2977,3569,3659,62060,3723
西藏自治区,440,409,374,,496,491,466,571,7579,551
陕西省,815,859,950,,1398,1637,1813,1864,28879,2118
甘肃省,887,1070,1212,,2071,2327,2532,2907,38180,2521
青海省,345,310,275,,423,463,505,519,9042,608
宁夏回族自治区,230,218,252,,300,308,420,460,7664,456
新疆维吾尔自治区,364,299,320,,311,421,399,574,10549,616

数据来源：国家统计局

注：
2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
