数据库：分省年度数据
指标：15岁及以上男性人口数(人口抽样调查)(人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,8149,7999,8012,,6907,6767,6509,6315,92227,6542
天津市,5315,5121,5101,,4738,4418,4359,4161,59994,4198
河北省,25174,25215,26109,,26120,26656,26507,26512,369699,27558
山西省,13006,12932,13139,,12773,12662,12684,12508,175754,13049
内蒙古自治区,9223,9132,9081,,9394,9484,9374,9409,133393,9883
辽宁省,16354,16446,16656,,17054,17052,17168,17213,238190,17649
吉林省,10293,10194,10402,,10902,10946,10984,11019,155105,11290
黑龙江省,14091,14234,14474,,15076,15236,15366,15380,216958,16057
上海市,9264,9443,9727,,7674,7705,7611,7500,107344,7469
江苏省,27932,27979,28967,,28572,28266,28460,28009,401541,29353
浙江省,20665,20367,19801,,19636,19964,19823,19269,274090,19389
安徽省,20257,20962,20765,,22139,22090,21805,22133,303519,24669
福建省,13292,12967,13033,,13105,13250,13309,13349,188037,13553
江西省,15317,14874,15532,,15095,15114,15243,14922,209866,16367
山东省,34119,33826,34507,,35197,35377,35954,36145,507409,36477
河南省,29957,30621,32155,,33335,33399,34050,33827,483364,37263
湖北省,20446,20880,21402,,21951,22058,22140,21943,305444,23554
湖南省,22842,22876,23459,,23660,24496,24657,24084,342170,26849
广东省,38115,38665,39321,,34811,35265,34726,34362,473198,29133
广西壮族自治区,15862,15480,16127,,17446,17402,17406,17338,238765,19170
海南省,3113,3146,3077,,3182,3092,3111,3079,43036,3074
重庆市,10448,10210,10616,,10170,10272,10445,10366,145638,11885
四川省,28322,29551,29278,,29753,30601,30125,30537,415877,33996
贵州省,11470,11333,11793,,12941,12865,12705,12812,178813,14360
云南省,15956,16012,16187,,16375,16450,16278,16349,228580,16594
西藏自治区,1004,983,1011,,1002,963,985,945,13064,963
陕西省,13409,13798,13772,,14063,14153,14068,13888,195982,14672
甘肃省,9037,9169,9355,,9520,9368,9503,9377,130485,10086
青海省,1945,1944,1929,,1944,1963,1966,1970,27343,2027
宁夏回族自治区,2178,2140,2264,,2188,2154,2137,2121,29123,2106
新疆维吾尔自治区,7570,7538,7787,,7555,7626,7501,7340,102669,7489

数据来源：国家统计局

注：
2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
