数据库：分省年度数据
指标：女性人口数(人口抽样调查)(人)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,8407,8415,8450,,7390,7284,7311,7248,100461,6933
天津市,6109,5937,5822,,5175,5129,4940,4926,68752,4975
河北省,29449,29719,29778,,30572,30879,31171,31495,451355,32309
山西省,14576,14736,14980,,14875,15167,15240,15416,218802,15748
内蒙古自治区,9914,10162,10663,,10487,10631,10865,10870,154324,11292
辽宁省,17939,18263,18601,,19085,19405,19539,19420,278620,20486
吉林省,11010,11279,11488,,11884,12237,12370,12471,176968,13170
黑龙江省,15596,15707,16273,,16755,17149,17412,17470,249780,18332
上海市,9664,9513,9412,,8452,8420,8384,8316,116932,8495
江苏省,32772,33225,33597,,34653,35459,35536,35642,503960,36415
浙江省,21864,22338,23842,,22519,22543,22397,22551,319465,22541
安徽省,24382,23931,25155,,26443,27029,27783,27928,403444,30467
福建省,14982,15490,16103,,16049,16142,16291,16262,232669,16955
江西省,17898,18099,18157,,19136,19370,19519,19534,280223,20137
山东省,39403,39978,41017,,41456,42457,42662,42789,612167,44388
河南省,38633,38803,38595,,41463,41978,42412,42989,611003,45807
湖北省,23538,23657,23917,,24792,25482,25767,26211,371334,28858
湖南省,26845,26817,27358,,27732,27835,28307,28842,409126,31690
广东省,41665,41707,41700,,42021,41794,42043,41671,600667,37787
广西壮族自治区,18595,18807,18900,,20350,20674,20824,20705,297097,22841
海南省,3490,3463,3599,,3551,3653,3666,3666,52076,3786
重庆市,12018,12203,12223,,12601,12667,12762,12838,183744,15330
四川省,32793,32094,33643,,36069,36381,37388,37555,545031,42072
贵州省,13960,14135,13978,,16316,16390,16699,16747,239513,18209
云南省,18635,18882,19385,,19451,19658,20003,19965,285146,21102
西藏自治区,1267,1292,1268,,1300,1323,1317,1315,18517,1351
陕西省,15151,15123,15566,,16539,16766,17059,17185,243750,17497
甘肃省,10363,10440,10523,,11484,11730,11828,11904,170129,12314
青海省,2339,2318,2396,,2452,2484,2488,2485,35574,2538
宁夏回族自治区,2642,2640,2588,,2695,2716,2738,2718,39159,2800
新疆维吾尔自治区,9105,9134,9191,,9367,9355,9275,9229,131097,9275

数据来源：国家统计局

注：
2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
