数据库：分省年度数据
指标：农村宽带接入用户(万户)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,96.8,94.4,93.9,,,,,,,
天津市,0.5,0.5,0.7,,,,,,,
河北省,430.4,222.6,193.0,,,,,,,
山西省,51.1,52.5,49.5,,,,,,,
内蒙古自治区,60.9,24.8,19.8,,,,,,,
辽宁省,107.5,130.3,101.4,,,,,,,
吉林省,76.0,68.1,53.0,,,,,,,
黑龙江省,57.5,49.0,43.4,,,,,,,
上海市,,,,,,,,,,
江苏省,575.2,539.5,406.1,,,,,,,
浙江省,540.4,488.2,426.0,,,,,,,
安徽省,142.0,129.7,113.3,,,,,,,
福建省,240.2,217.6,177.7,,,,,,,
江西省,103.9,92.1,73.3,,,,,,,
山东省,448.8,402.9,301.3,,,,,,,
河南省,301.7,255.3,189.7,,,,,,,
湖北省,144.1,126.3,102.0,,,,,,,
湖南省,140.2,113.2,85.4,,,,,,,
广东省,518.6,483.6,418.9,,,,,,,
广西壮族自治区,102.6,87.7,69.9,,,,,,,
海南省,26.0,21.4,16.2,,,,,,,
重庆市,66.6,51.8,38.7,,,,,,,
四川省,188.7,166.2,129.9,,,,,,,
贵州省,44.5,36.7,31.3,,,,,,,
云南省,76.9,65.2,50.3,,,,,,,
西藏自治区,0.0,,,,,,,,,
陕西省,96.4,83.3,64.9,,,,,,,
甘肃省,34.0,16.7,16.0,,,,,,,
青海省,3.7,2.6,1.8,,,,,,,
宁夏回族自治区,7.7,7.3,6.5,,,,,,,
新疆维吾尔自治区,54.4,46.4,34.9,,,,,,,

数据来源：国家统计局

注：
