数据库：分省年度数据
指标：城市宽带接入用户(万户)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,383.6,379.3,416.9,,,,,,,
天津市,187.9,204.3,186.0,,,,,,,
河北省,601.1,741.3,631.5,,,,,,,
山西省,470.2,452.3,366.6,,,,,,,
内蒙古自治区,223.5,250.0,211.2,,,,,,,
辽宁省,619.4,577.6,553.7,,,,,,,
吉林省,303.6,296.5,254.4,,,,,,,
黑龙江省,402.1,386.9,342.1,,,,,,,
上海市,511.1,541.0,493.5,,,,,,,
江苏省,856.2,811.2,764.9,,,,,,,
浙江省,702.3,664.4,593.6,,,,,,,
安徽省,404.8,377.3,319.4,,,,,,,
福建省,595.4,520.4,427.5,,,,,,,
江西省,306.2,279.9,239.7,,,,,,,
山东省,1016.3,961.3,852.8,,,,,,,
河南省,698.8,672.3,594.8,,,,,,,
湖北省,669.3,581.6,478.1,,,,,,,
湖南省,562.1,491.2,397.7,,,,,,,
广东省,1563.1,1419.9,1225.0,,,,,,,
广西壮族自治区,457.1,419.4,344.9,,,,,,,
海南省,84.9,74.1,64.2,,,,,,,
重庆市,372.1,336.3,281.2,,,,,,,
四川省,646.5,656.8,538.5,,,,,,,
贵州省,247.8,207.2,173.5,,,,,,,
云南省,327.8,310.3,247.8,,,,,,,
西藏自治区,19.1,17.0,12.8,,,,,,,
陕西省,409.8,356.3,304.9,,,,,,,
甘肃省,158.1,146.6,117.5,,,,,,,
青海省,51.1,47.3,39.8,,,,,,,
宁夏回族自治区,63.4,53.6,45.7,,,,,,,
新疆维吾尔自治区,238.6,208.6,171.2,,,,,,,

数据来源：国家统计局

注：
