数据库：分省年度数据
指标：互联网拨号用户(万户)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,45.9,46.1,47.7,,,,,,,
天津市,12.4,12.5,12.9,,,,,,,
河北省,0.1,0.2,0.4,,,,,,,
山西省,3.5,3.7,4.2,,,,,,,
内蒙古自治区,,,0.3,,,,,,,
辽宁省,22.2,22.6,25.1,,,,,,,
吉林省,6.0,6.2,7.3,,,,,,,
黑龙江省,10.1,17.8,11.7,,,,,,,
上海市,1.1,1.5,2.3,,,,,,,
江苏省,11.1,11.6,12.4,,,,,,,
浙江省,35.8,36.2,39.9,,,,,,,
安徽省,20.1,20.5,20.8,,,,,,,
福建省,16.6,17.0,20.1,,,,,,,
江西省,2.8,3.4,5.2,,,,,,,
山东省,40.1,40.3,11.6,,,,,,,
河南省,103.3,103.3,103.4,,,,,,,
湖北省,13.3,10.8,10.9,,,,,,,
湖南省,0.1,0.1,0.5,,,,,,,
广东省,72.6,71.8,72.4,,,,,,,
广西壮族自治区,8.9,8.9,9.6,,,,,,,
海南省,,,,,,,,,,
重庆市,,,,,,,,,,
四川省,13.9,14.7,9.0,,,,,,,
贵州省,5.4,5.6,5.7,,,,,,,
云南省,6.4,81.8,83.4,,,,,,,
西藏自治区,,,,,,,,,,
陕西省,13.9,13.7,13.7,,,,,,,
甘肃省,10.7,10.8,10.9,,,,,,,
青海省,0.6,0.6,0.5,,,,,,,
宁夏回族自治区,1.6,1.7,1.7,,,,,,,
新疆维吾尔自治区,6.4,6.5,6.9,,,,,,,

数据来源：国家统计局

注：
