数据库：分省年度数据
指标：域名数(万个)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,185.73,125.59,106.13,,,,,,,
天津市,11.51,11.72,8.34,,,,,,,
河北省,25.33,27.27,21.67,,,,,,,
山西省,8.18,7.11,5.66,,,,,,,
内蒙古自治区,4.56,3.93,2.91,,,,,,,
辽宁省,22.34,22.88,14.25,,,,,,,
吉林省,7.64,6.68,5.10,,,,,,,
黑龙江省,85.75,7.33,6.78,,,,,,,
上海市,78.30,84.35,68.13,,,,,,,
江苏省,64.86,52.24,40.66,,,,,,,
浙江省,69.10,343.00,87.46,,,,,,,
安徽省,21.16,11.93,9.39,,,,,,,
福建省,66.13,81.57,52.81,,,,,,,
江西省,9.61,7.71,6.11,,,,,,,
山东省,432.39,46.90,38.31,,,,,,,
河南省,36.75,22.80,19.76,,,,,,,
湖北省,21.00,15.65,14.20,,,,,,,
湖南省,17.98,14.28,12.41,,,,,,,
广东省,355.36,281.58,140.20,,,,,,,
广西壮族自治区,9.23,7.03,5.05,,,,,,,
海南省,13.61,4.30,3.58,,,,,,,
重庆市,14.04,10.92,9.12,,,,,,,
四川省,34.03,26.12,23.66,,,,,,,
贵州省,4.29,3.30,2.41,,,,,,,
云南省,8.36,6.09,4.14,,,,,,,
西藏自治区,0.50,0.48,0.39,,,,,,,
陕西省,13.21,11.26,9.33,,,,,,,
甘肃省,2.93,2.38,1.61,,,,,,,
青海省,1.11,1.24,1.13,,,,,,,
宁夏回族自治区,1.60,1.46,1.37,,,,,,,
新疆维吾尔自治区,4.07,3.24,2.45,,,,,,,

数据来源：国家统计局

注：
