数据库：分省年度数据
指标：网页数(万个)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,3773152.07,3809450.16,2993042.49,,,,,,,
天津市,725108.44,275989.05,253231.97,,,,,,,
河北省,543079.96,260005.95,218263.50,,,,,,,
山西省,412507.79,41326.80,43595.03,,,,,,,
内蒙古自治区,22709.64,13143.45,9839.89,,,,,,,
辽宁省,228211.00,182183.21,97184.42,,,,,,,
吉林省,105090.94,40642.28,14408.40,,,,,,,
黑龙江省,6482.07,54211.18,41508.89,,,,,,,
上海市,921222.80,1081481.81,690155.31,,,,,,,
江苏省,1259479.87,823366.38,522445.37,,,,,,,
浙江省,2126604.50,958898.55,818250.98,,,,,,,
安徽省,129682.75,247603.16,124759.06,,,,,,,
福建省,90848.29,469872.79,352462.90,,,,,,,
江西省,265168.24,193304.86,136356.05,,,,,,,
山东省,535262.85,292335.78,254666.94,,,,,,,
河南省,445741.14,596860.26,480935.85,,,,,,,
湖北省,167299.51,259235.03,173466.04,,,,,,,
湖南省,53044.99,183263.34,104088.27,,,,,,,
广东省,2543906.17,1787385.30,880168.86,,,,,,,
广西壮族自治区,112995.85,61402.52,61852.45,,,,,,,
海南省,144738.30,57166.66,56039.47,,,,,,,
重庆市,24158.56,45029.43,47159.58,,,,,,,
四川省,39295.80,286437.20,145321.28,,,,,,,
贵州省,417.08,13889.80,11379.64,,,,,,,
云南省,275527.54,48543.69,19459.76,,,,,,,
西藏自治区,140.37,348.67,478.34,,,,,,,
陕西省,41175.10,117966.15,75856.42,,,,,,,
甘肃省,3933.44,33189.96,11768.52,,,,,,,
青海省,9.62,2437.45,1316.64,,,,,,,
宁夏回族自治区,948.55,8622.42,3414.10,,,,,,,
新疆维吾尔自治区,6133.04,29088.42,15353.43,,,,,,,

数据来源：国家统计局

注：
