数据库：分省年度数据
指标：网站数(万个)
地区,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,43.94,39.85,38.49,,,,,,,
天津市,3.66,3.67,2.64,,,,,,,
河北省,8.96,8.65,6.57,,,,,,,
山西省,3.46,2.17,1.73,,,,,,,
内蒙古自治区,1.23,1.29,1.00,,,,,,,
辽宁省,8.65,6.44,4.77,,,,,,,
吉林省,2.08,2.11,1.63,,,,,,,
黑龙江省,2.71,2.03,1.67,,,,,,,
上海市,31.69,27.03,23.77,,,,,,,
江苏省,16.63,17.08,12.63,,,,,,,
浙江省,21.97,19.55,21.69,,,,,,,
安徽省,3.79,3.45,2.58,,,,,,,
福建省,22.07,18.90,15.11,,,,,,,
江西省,2.24,2.15,1.60,,,,,,,
山东省,14.58,14.29,10.94,,,,,,,
河南省,11.12,7.93,6.31,,,,,,,
湖北省,6.39,6.03,5.15,,,,,,,
湖南省,4.96,4.85,3.99,,,,,,,
广东省,53.60,43.59,38.39,,,,,,,
广西壮族自治区,2.50,1.81,1.33,,,,,,,
海南省,1.21,1.24,1.00,,,,,,,
重庆市,3.13,3.14,2.49,,,,,,,
四川省,11.01,8.29,7.17,,,,,,,
贵州省,0.96,0.79,0.61,,,,,,,
云南省,1.45,1.33,0.99,,,,,,,
西藏自治区,0.09,0.10,0.08,,,,,,,
陕西省,3.75,3.95,3.00,,,,,,,
甘肃省,0.71,0.62,0.45,,,,,,,
青海省,0.22,0.24,0.18,,,,,,,
宁夏回族自治区,0.38,0.41,0.31,,,,,,,
新疆维吾尔自治区,0.76,0.57,0.43,,,,,,,

数据来源：国家统计局

注：
